title,Cut_List_Tier,Copies_Held_Store_1,Revenue_per_Copy_Store_1,Copies_Held_Store_2,Revenue_per_Copy_Store_2
GANDHI KWAI,Weak at only store stocked,,,4,5.707499999999999
GATHERING CALENDAR,Weak at only store stocked,,,4,6.222499999999999
GHOSTBUSTERS ELF,Weak at only store stocked,,,2,5.955
GILBERT PELICAN,Weak at only store stocked,,,4,4.4775
GLORY TRACY,Weak at only store stocked,2,7.4750000000000005,,
GOLDMINE TYCOON,Weak at both stores,4,7.2125,3,6.626666666666666
GRAPES FURY,Weak at both stores,4,9.217500000000001,3,6.633333333333334
GREASE YOUTH,Weak at both stores,3,5.626666666666668,3,3.97
GREEDY ROOTS,Weak at only store stocked,,,4,3.9650000000000007
GROOVE FICTION,Weak at both stores,3,8.303333333333335,2,8.455000000000002
GUN BONNIE,Weak at both stores,3,7.293333333333333,3,5.290000000000001
HARDLY ROBBERS,Weak at only store stocked,2,7.98,,
HAROLD FRENCH,Weak at only store stocked,2,4.960000000000001,,
HAWK CHILL,Weak at only store stocked,2,7.965000000000001,,
HIGHBALL POTTER,Weak at both stores,2,5.970000000000001,4,5.2125
HOLLYWOOD ANONYMOUS,Weak at both stores,2,3.9650000000000003,2,2.97
HOLOCAUST HIGHBALL,Weak at both stores,3,6.63,2,2.97
HOMEWARD CIDER,Weak at only store stocked,4,5.96,,
HOOK CHARIOTS,Weak at only store stocked,,,4,4.4675
HUNGER ROOF,Weak at both stores,2,3.9800000000000004,2,7.455000000000001
INDEPENDENCE HOTEL,Weak at both stores,2,5.9750000000000005,4,6.714999999999998
INDIAN LOVE,Weak at both stores,2,7.4750000000000005,4,8.972500000000002
INSECTS STONE,Weak at both stores,2,5.970000000000001,4,6.2175
INTRIGUE WORST,Weak at both stores,4,4.4750000000000005,3,6.633333333333333
JAPANESE RUN,Weak at only store stocked,,,2,3.9700000000000006
JAWBREAKER BROOKLYN,Weak at only store stocked,,,3,3.9666666666666672
JEDI BENEATH,Weak at both stores,2,5.455000000000001,3,3.6333333333333333
JUNGLE CLOSER,Weak at only store stocked,2,7.955,,
KANE EXORCIST,Weak at only store stocked,,,3,6.953333333333333
KWAI HOMEWARD,Weak at both stores,4,8.465000000000002,2,8.455
LANGUAGE COWBOY,Weak at only store stocked,,,3,6.629999999999999
LAWRENCE LOVE,Weak at both stores,2,3.4650000000000003,3,2.9800000000000004
LEGEND JEDI,Weak at only store stocked,,,3,4.636666666666668
LIGHTS DEER,Weak at only store stocked,2,4.96,,
LION UNCUT,Weak at both stores,2,5.465000000000001,4,5.972500000000001
LOUISIANA HARRY,Weak at both stores,2,3.975,3,7.293333333333333
LOVERBOY ATTACKS,Weak at only store stocked,,,3,6.626666666666666
MARS ROMAN,Weak at both stores,3,5.966666666666668,2,7.455000000000001
MASKED BUBBLE,Weak at both stores,4,4.7175,2,3.4650000000000003
MAUDE MOD,Weak at only store stocked,2,5.960000000000001,,
MIXED DOORS,Weak at only store stocked,2,7.98,,
MOCKINGBIRD HOLLYWOOD,Weak at both stores,4,6.719999999999997,4,8.220000000000002
MONTEREY LABYRINTH,Weak at only store stocked,,,4,5.467499999999999
MONTEZUMA COMMAND,Weak at only store stocked,3,3.9700000000000006,,
MOON BUNCH,Weak at both stores,4,4.9625,4,4.715
MOSQUITO ARMAGEDDON,Weak at only store stocked,4,6.462499999999999,,
MOTIONS DETAILS,Weak at both stores,2,7.955000000000001,2,8.47
MOURNING PURPLE,Weak at both stores,2,7.455000000000001,3,9.293333333333331
MUSIC BOONDOCK,Weak at both stores,2,4.955,3,4.3
MUSSOLINI SPOILERS,Weak at only store stocked,,,2,7.9750000000000005
NOTORIOUS REUNION,Weak at only store stocked,,,4,6.464999999999998
NOTTING SPEAKEASY,Weak at only store stocked,,,3,4.633333333333334
ODDS BOOGIE,Weak at only store stocked,,,4,5.962499999999998
OKLAHOMA JUMANJI,Weak at only store stocked,,,2,2.97
OUTBREAK DIVINE,Weak at both stores,3,7.623333333333334,2,8.450000000000001
PATIENT SISTER,Weak at both stores,3,4.963333333333334,2,4.960000000000001
PIANIST OUTFIELD,Weak at both stores,3,3.636666666666667,4,6.967499999999999
PIRATES ROXANNE,Weak at both stores,3,9.296666666666665,3,7.963333333333334
POCUS PULP,Weak at both stores,3,5.633333333333334,4,6.709999999999997
POLISH BROOKLYN,Weak at only store stocked,,,4,6.204999999999998
PRIDE ALAMO,Weak at both stores,2,2.475,3,4.63
PRIMARY GLASS,Weak at both stores,4,3.9700000000000006,4,5.2124999999999995
REAR TRADING,Weak at both stores,2,7.460000000000001,2,8.955000000000002
REBEL AIRPORT,Weak at only store stocked,,,2,3.9600000000000004
REEF SALUTE,Weak at both stores,2,2.975,2,8.97
RESURRECTION SILVERADO,Weak at both stores,2,6.455000000000001,3,4.626666666666667
RIVER OUTLAW,Weak at both stores,4,9.470000000000002,3,6.6433333333333335
ROCK INSTINCT,Weak at both stores,2,8.965,4,7.7250000000000005
ROMAN PUNK,Weak at both stores,4,4.46,2,5.960000000000001
ROOM ROMAN,Weak at both stores,2,4.470000000000001,4,5.215
ROOTS REMEMBER,Weak at both stores,2,8.965,3,8.3
RUNAWAY TENENBAUMS,Weak at only store stocked,,,2,6.460000000000001
RUNNER MADIGAN,Weak at only store stocked,,,3,4.973333333333334
SASSY PACKER,Weak at only store stocked,,,4,3.9675000000000002
SHANGHAI TYCOON,Weak at both stores,3,8.640000000000002,3,5.98
SHEPHERD MIDSUMMER,Weak at both stores,3,5.96,4,3.7175000000000002
SHINING ROSES,Weak at only store stocked,3,7.64,,
SHOOTIST SUPERFLY,Weak at both stores,4,4.7225,3,6.29
SIDE ARK,Weak at both stores,2,8.47,2,6.470000000000001
SIEGE MADRE,Weak at only store stocked,4,4.4625,,
SILENCE KANE,Weak at both stores,2,2.975,3,3.6300000000000003
SLING LUKE,Weak at only store stocked,,,2,7.470000000000001
SLIPPER FIDELITY,Weak at only store stocked,,,4,7.709999999999998
SLUMS DUCK,Weak at both stores,4,7.214999999999996,3,8.966666666666665
SMOKING BARBARELLA,Weak at both stores,3,3.3000000000000003,3,2.9766666666666666
SMOOCHY CONTROL,Weak at only store stocked,,,4,3.7200000000000006
SORORITY QUEEN,Weak at only store stocked,,,4,4.97
SOUP WISDOM,Weak at only store stocked,,,2,6.460000000000001
SPIRIT FLINTSTONES,Weak at only store stocked,,,4,3.9625000000000004
SPIRITED CASUALTIES,Weak at only store stocked,3,6.63,,
SPLASH GUMP,Weak at only store stocked,4,8.464999999999998,,
SPLENDOR PATTON,Weak at both stores,3,5.3066666666666675,4,6.217499999999998
SPOILERS HELLFIGHTERS,Weak at only store stocked,,,3,6.966666666666666
STALLION SUNDANCE,Weak at only store stocked,,,2,4.465
STAMPEDE DISTURBING,Weak at only store stocked,4,8.214999999999998,,
STORM HAPPINESS,Weak at both stores,4,5.2124999999999995,4,6.465000000000001
STORY SIDE,Weak at both stores,3,5.293333333333334,4,5.959999999999998
STREAK RIDGEMONT,Weak at both stores,2,6.955000000000001,2,5.465000000000001
SUMMER SCARFACE,Weak at both stores,3,5.97,2,8.465
SUN CONFESSIONS,Weak at both stores,4,8.217500000000001,3,6.96
SUNDANCE INVASION,Weak at both stores,4,6.469999999999998,2,7.965000000000001
SUNSET RACER,Weak at only store stocked,,,2,6.460000000000001
SUPERFLY TRIP,Weak at only store stocked,3,5.966666666666666,,
TALENTED HOMICIDE,Weak at both stores,3,4.300000000000001,4,6.702499999999998
TAXI KICK,Weak at both stores,3,6.63,2,7.470000000000001
TENENBAUMS COMMAND,Weak at only store stocked,4,5.217499999999999,,
TEXAS WATCH,Weak at only store stocked,2,2.97,,
THEORY MERMAID,Weak at only store stocked,4,7.719999999999998,,
TIGHTS DAWN,Weak at both stores,3,7.959999999999997,4,9.215000000000002
TOMATOES HELLFIGHTERS,Weak at both stores,3,3.643333333333334,2,4.465000000000001
TOWERS HURRICANE,Weak at only store stocked,3,4.296666666666668,,
TRANSLATION SUMMER,Weak at only store stocked,4,8.462499999999999,,
TREATMENT JEKYLL,Weak at only store stocked,,,2,6.465000000000001
TROOPERS METAL,Weak at both stores,4,9.227500000000003,2,4.9750000000000005
UNFORGIVEN ZOOLANDER,Weak at both stores,2,5.465000000000001,3,4.963333333333334
VALENTINE VANISHING,Weak at only store stocked,,,3,5.626666666666668
VANISHED GARDEN,Weak at only store stocked,,,2,7.470000000000001
VICTORY ACADEMY,Weak at only store stocked,3,4.303333333333334,,
VIETNAM SMOOCHY,Weak at both stores,2,4.970000000000001,2,6.455000000000001
VIRGINIAN PLUTO,Weak at both stores,4,5.7174999999999985,4,7.209999999999997
VISION TORQUE,Weak at only store stocked,2,7.965000000000001,,
VOICE PEACH,Weak at both stores,2,6.970000000000001,4,4.967500000000001
VOYAGE LEGALLY,Weak at both stores,3,5.963333333333334,4,7.7075
WATCH TRACY,Weak at both stores,2,3.9750000000000005,3,8.96333333333333
WATERSHIP FRONTIER,Weak at only store stocked,2,6.970000000000001,,
WESTWARD SEABISCUIT,Weak at both stores,3,5.63,4,5.2124999999999995
WILD APOLLO,Weak at only store stocked,2,7.970000000000001,,
WIND PHANTOM,Weak at both stores,2,8.46,4,5.4625
WOLVES DESIRE,Weak at both stores,3,3.3000000000000003,3,4.963333333333334
WOMEN DORADO,Weak at both stores,3,3.976666666666667,4,8.212500000000002
WRATH MILE,Weak at only store stocked,,,4,5.964999999999998
YOUNG LANGUAGE,Weak at only store stocked,2,3.4650000000000003,,
ZHIVAGO CORE,Weak at only store stocked,,,2,7.455000000000001
